Date,Close,High,Low,Open,Volume,n-transactions,MKTCP,HRATE,DIFF,AVBLS
9/14/2018,6512.709961,6596.100098,6456.169922,6515.410156,4076220000,223250,1.13E+11,46058269.8,7.02E+12,1.057485
9/15/2018,6543.200195,6561.720215,6493.549805,6509.399902,3216300000,211071,1.13E+11,48849680.09,7.02E+12,0.789859057
9/16/2018,6517.180176,6544.330078,6460.100098,6536.680176,3273730000,179483,1.12E+11,48500753.8,7.02E+12,0.627328396
9/17/2018,6281.200195,6540.209961,6257.52002,6514.060059,3910780000,240152,1.12E+11,47105048.66,7.02E+12,0.90764783
9/18/2018,6371.299805,6384.180176,6265.709961,6280.910156,4180090000,244259,1.09E+11,49547532.66,7.02E+12,0.936313514
9/19/2018,6398.540039,6448.459961,6208.339844,6371.850098,4431340000,251037,1.09E+11,54432500.67,7.02E+12,0.804437244
9/20/2018,6519.669922,6529.259766,6395.950195,6398.850098,4348110000,253674,1.10E+11,54756137.2,7.03E+12,0.815061117
9/21/2018,6734.950195,6794.330078,6496.359863,6513.870117,6531940000,273051,1.15E+11,51200543.88,7.15E+12,1.012301729
9/22/2018,6721.97998,6814.560059,6616.799805,6735.049805,4509660000,225537,1.16E+11,55111696.54,7.15E+12,0.732038903
9/23/2018,6710.629883,6766.149902,6679.419922,6715.319824,4197500000,200319,1.17E+11,53333899.87,7.15E+12,0.65563344
9/24/2018,6595.410156,6713.560059,6580.899902,6704.77002,4177310000,237670,1.15E+11,52622781.21,7.15E+12,0.80711402
9/25/2018,6446.470215,6603.640137,6381.859863,6603.640137,4726180000,252113,1.11E+11,60089527.19,7.15E+12,0.768240781
9/26/2018,6495,6585.910156,6397.890137,6452.790039,4437300000,243927,1.11E+11,49422747.22,7.15E+12,0.898005353
9/27/2018,6676.75,6712.100098,6464.950195,6495.290039,4606810000,248686,1.13E+11,50844984.55,7.15E+12,0.877031231
9/28/2018,6644.129883,6785.029785,6598.319824,6678.75,5014430000,254239,1.15E+11,54756137.2,7.15E+12,0.855168669
9/29/2018,6601.959961,6643.100098,6511.649902,6643.100098,4363690000,218339,1.12E+11,54045018.54,7.15E+12,0.693383605
9/30/2018,6625.560059,6643.779785,6566.540039,6604.709961,4002280000,208210,1.14E+11,57956171.2,7.15E+12,0.626711307
10/1/2018,6589.620117,6653.299805,6549.080078,6619.850098,4000970000,242820,1.14E+11,56178374.53,7.15E+12,0.857105918
10/2/2018,6556.100098,6611.839844,6537.899902,6593.240234,3979260000,244772,1.14E+11,48711628.55,7.15E+12,1.015335803
10/3/2018,6502.589844,6571.459961,6454.029785,6553.859863,3887310000,242303,1.12E+11,51556103.21,7.15E+12,0.838225669
10/4/2018,6576.689941,6603.310059,6497.910156,6497.910156,3838410000,243157,1.14E+11,54911962.63,7.36E+12,0.798640053
10/5/2018,6622.47998,6623.620117,6557.410156,6574.149902,3671500000,244719,1.13E+11,48176505.21,7.45E+12,0.963110885
10/6/2018,6588.310059,6628.540039,6577.799805,6622.450195,3259740000,214843,1.14E+11,46323562.7,7.45E+12,0.92210188
10/7/2018,6602.950195,6641.490234,6557.040039,6590.680176,3306630000,219731,1.14E+11,52623567.23,7.45E+12,0.831893479
